256 true_sum = 53400, estimate_sum = 52657, error = -1.391%
257 true_sum = 52805, estimate_sum = 52635, error = -0.322%
258 true_sum = 53360, estimate_sum = 52708, error = -1.222%
259 true_sum = 53006, estimate_sum = 52770, error = -0.445%
260 true_sum = 53567, estimate_sum = 52867, error = -1.307%
261 true_sum = 53850, estimate_sum = 53122, error = -1.352%
262 true_sum = 53466, estimate_sum = 52804, error = -1.238%
263 true_sum = 53589, estimate_sum = 53289, error = -0.560%
264 true_sum = 53947, estimate_sum = 53294, error = -1.210%
265 true_sum = 54116, estimate_sum = 53639, error = -0.881%
266 true_sum = 54642, estimate_sum = 53866, error = -1.420%
267 true_sum = 54656, estimate_sum = 54043, error = -1.122%
268 true_sum = 55173, estimate_sum = 54155, error = -1.845%
269 true_sum = 55525, estimate_sum = 54279, error = -2.244%
270 true_sum = 56115, estimate_sum = 54583, error = -2.730%
271 true_sum = 55792, estimate_sum = 54601, error = -2.135%
272 true_sum = 55534, estimate_sum = 54669, error = -1.558%
273 true_sum = 55331, estimate_sum = 54763, error = -1.027%
274 true_sum = 56099, estimate_sum = 54962, error = -2.027%
275 true_sum = 55874, estimate_sum = 54955, error = -1.645%
276 true_sum = 54970, estimate_sum = 54266, error = -1.281%
277 true_sum = 55445, estimate_sum = 54623, error = -1.483%
278 true_sum = 54755, estimate_sum = 54256, error = -0.911%
279 true_sum = 54726, estimate_sum = 54580, error = -0.267%
280 true_sum = 55345, estimate_sum = 54536, error = -1.462%
281 true_sum = 55292, estimate_sum = 54965, error = -0.591%
282 true_sum = 55279, estimate_sum = 54864, error = -0.751%
283 true_sum = 55036, estimate_sum = 54652, error = -0.698%
284 true_sum = 54517, estimate_sum = 53996, error = -0.956%
285 true_sum = 54286, estimate_sum = 54510, error = 0.413%
286 true_sum = 53989, estimate_sum = 54023, error = 0.063%
287 true_sum = 53757, estimate_sum = 54517, error = 1.414%
288 true_sum = 53969, estimate_sum = 54184, error = 0.398%
289 true_sum = 53658, estimate_sum = 54593, error = 1.743%
290 true_sum = 53672, estimate_sum = 54268, error = 1.110%
